"artist_name","album_release_date","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","track_name","track_number","album_name","key_name","mode_name","key_mode"
"John Williams","2005-05-03",2005,0.324,0.42,0,-14.413,1,0.0359,0.576,0.795,0.116,0.145,92.724,236026,"Anakin vs. Obi-Wan",9,"Star Wars: Revenge of the Sith (Original Motion Picture Soundtrack)","C","major","C major"
"John Williams","2005-05-03",2005,0.138,0.152,7,-15.867,0,0.0334,0.823,0.886,0.0963,0.0925,85.779,244226,"Anakin's Dark Deeds",10,"Star Wars: Revenge of the Sith (Original Motion Picture Soundtrack)","G","minor","G minor"
"John Williams","2005-05-03",2005,0.112,0.143,9,-17.012,0,0.0363,0.746,0.889,0.091,0.0365,78.619,253933,"Enter Lord Vader",11,"Star Wars: Revenge of the Sith (Original Motion Picture Soundtrack)","A","minor","A minor"
"John Williams","2005-05-03",2005,0.0879,0.128,11,-19.652,0,0.0382,0.566,0.932,0.109,0.0398,165.213,159800,"The Immolation Scene",12,"Star Wars: Revenge of the Sith (Original Motion Picture Soundtrack)","B","minor","B minor"
"John Williams","2005-05-03",2005,0.12,0.133,4,-18.955,0,0.0393,0.857,0.867,0.106,0.0616,73.94,168053,"Grievous Speaks to Lord Sidious",13,"Star Wars: Revenge of the Sith (Original Motion Picture Soundtrack)","E","minor","E minor"
"John Williams","2005-05-03",2005,0.0604,0.147,4,-18.954,1,0.0378,0.925,0.783,0.0744,0.0364,65.247,219693,"The Birth of the Twins and Padmé's Destiny",14,"Star Wars: Revenge of the Sith (Original Motion Picture Soundtrack)","E","major","E major"
"John Williams","2005-05-03",2005,0.191,0.303,0,-14.137,1,0.0316,0.719,0.929,0.181,0.0901,91.164,785373,"A New Hope and End Credits",15,"Star Wars: Revenge of the Sith (Original Motion Picture Soundtrack)","C","major","C major"
"John Williams","2002-04-23",2002,0.0911,0.286,5,-15.819,1,0.0422,0.645,0.944,0.203,0.0515,71.832,229466,"Star Wars Main Title and Ambush on Coruscant",1,"Star Wars: Attack of the Clones (Original Motion Picture Soundtrack)","F","major","F major"
"John Williams","2002-04-23",2002,0.116,0.13,0,-18.278,1,0.0355,0.774,0.914,0.111,0.0666,80.611,333346,"Across the Stars (Love Theme from ""Star Wars: Attack of the Clones"")",2,"Star Wars: Attack of the Clones (Original Motion Picture Soundtrack)","C","major","C major"
"John Williams","2002-04-23",2002,0.424,0.315,0,-18.128,1,0.0526,0.621,0.727,0.112,0.0584,80.971,668386,"Zam the Assassin and the Chase Through Coruscant",3,"Star Wars: Attack of the Clones (Original Motion Picture Soundtrack)","C","major","C major"
"John Williams","2002-04-23",2002,0.128,0.00892,4,-33.337,0,0.0419,0.982,0.962,0.107,0.0475,66.833,237760,"Yoda and the Younglings",4,"Star Wars: Attack of the Clones (Original Motion Picture Soundtrack)","E","minor","E minor"
"John Williams","2002-04-23",2002,0.125,0.0314,9,-22.334,0,0.0392,0.973,0.957,0.114,0.0383,67.563,105533,"Departing Coruscant",5,"Star Wars: Attack of the Clones (Original Motion Picture Soundtrack)","A","minor","A minor"
"John Williams","2002-04-23",2002,0.171,0.0127,5,-32.066,1,0.041,0.979,0.945,0.0985,0.038,59.34,237160,"Anakin and Padmé",6,"Star Wars: Attack of the Clones (Original Motion Picture Soundtrack)","F","major","F major"
"John Williams","2002-04-23",2002,0.353,0.394,7,-15.915,1,0.0393,0.725,0.919,0.116,0.195,156.127,227880,"Jango's Escape",7,"Star Wars: Attack of the Clones (Original Motion Picture Soundtrack)","G","major","G major"
"John Williams","2002-04-23",2002,0.145,0.0669,7,-22.852,1,0.0384,0.874,0.836,0.098,0.0595,66.015,254680,"The Meadow Picnic",8,"Star Wars: Attack of the Clones (Original Motion Picture Soundtrack)","G","major","G major"
"John Williams","2002-04-23",2002,0.164,0.109,8,-18.876,1,0.041,0.789,0.867,0.0812,0.0392,83.18,202346,"Bounty Hunter's Pursuit",9,"Star Wars: Attack of the Clones (Original Motion Picture Soundtrack)","G#","major","G# major"
"John Williams","2002-04-23",2002,0.0844,0.0501,5,-26.518,0,0.0371,0.87,0.94,0.095,0.0361,84.416,416106,"Return to Tatooine",10,"Star Wars: Attack of the Clones (Original Motion Picture Soundtrack)","F","minor","F minor"
"John Williams","2002-04-23",2002,0.108,0.0463,4,-27.851,0,0.0455,0.835,0.926,0.134,0.0372,63.645,356293,"The Tusken Camp and the Homestead",11,"Star Wars: Attack of the Clones (Original Motion Picture Soundtrack)","E","minor","E minor"
